left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.6960318982601166,0.7412081658840179,0.7150251567363739,0.7025740444660187,0.6879023313522339,0.6679959297180176,0.7223853170871735,0.7147058844566345,0.7321018576622009,0.7184251844882965,0.6863825619220734,0.644172877073288,0.7274363040924072,0.6927298307418823,0.6905344128608704,0.6777634620666504,0.688720166683197,0.6969219446182251,0.7635649293661118,0.7254571616649628
aci,0.6053476333618164,0.5855658650398254,0.5507992804050446,0.6268971264362335,0.6052350103855133,0.6051992177963257,0.5946424901485443,0.5022463202476501,0.5706528723239899,0.5477121770381927,0.6100457310676575,0.5678679645061493,0.5668824315071106,0.5766811072826385,0.5582345724105835,0.5600893199443817,0.5965765416622162,0.6214919686317444,0.5772351622581482,0.604309469461441
acn,0.6278282105922699,0.5944811403751373,0.64414182305336,0.6734601259231567,0.6165792346000671,0.6874037683010101,0.6752376556396484,0.6863372325897217,0.6225375533103943,0.6852087080478668,0.6582559645175934,0.6869519054889679,0.6962474882602692,0.7225636839866638,0.6597492098808289,0.6945690810680389,0.7132543623447418,0.7056877315044403,0.6469615697860718,0.692661315202713
aco,0.7006445527076721,0.5867695212364197,0.6060541570186615,0.6000219583511353,0.6740865111351013,0.6433120369911194,0.6650112569332123,0.6527348160743713,0.6713020205497742,0.6629999279975891,0.5078034996986389,0.6398041546344757,0.6048707365989685,0.6316022872924805,0.6323588192462921,0.587163895368576,0.6390385329723358,0.6078517735004425,0.550262838602066,0.7121165096759796
acu,0.6876499354839325,0.6853793859481812,0.6459841132164001,0.6369023025035858,0.6478916704654694,0.7594865560531616,0.7044755518436432,0.6124112010002136,0.7077111899852753,0.6854592561721802,0.7124088108539581,0.7023087441921234,0.7025524973869324,0.6578847467899323,0.6839254200458527,0.7070088982582092,0.6023171842098236,0.7331961989402771,0.6201213896274567,0.6424303650856018
acw,0.7268560826778412,0.6350188553333282,0.6917450129985809,0.6901464462280273,0.6974992156028748,0.7402856349945068,0.7728356420993805,0.654738187789917,0.7449357211589813,0.7269910573959351,0.7718531787395477,0.6792856752872467,0.66872838139534,0.7511689364910126,0.7186005115509033,0.6778043210506439,0.7841966897249222,0.6406501829624176,0.6479246318340302,0.7041029930114746
adt,0.6344509124755859,0.6953502893447876,0.6699090003967285,0.668543666601181,0.6896588206291199,0.6942895650863647,0.7668405771255493,0.6738351285457611,0.7163596749305725,0.6747061312198639,0.6247434616088867,0.7278580069541931,0.7062546610832214,0.7459194660186768,0.7061898410320282,0.6161305010318756,0.7061380445957184,0.7004719376564026,0.6917898952960968,0.5918303728103638
aei,0.5762772262096405,0.6371272802352905,0.662079930305481,0.5654256343841553,0.6724707186222076,0.6746279299259186,0.6843023896217346,0.655175119638443,0.6476598381996155,0.5988942980766296,0.6598026156425476,0.6476432681083679,0.6772333979606628,0.6786525249481201,0.6243499517440796,0.6460019052028656,0.6469868719577789,0.7179948389530182,0.711790531873703,0.6921454668045044
aej,0.6719877421855927,0.7066231071949005,0.7160166203975677,0.7612837553024292,0.6261863112449646,0.6843212246894836,0.7319061756134033,0.6506203413009644,0.6493832468986511,0.5599139630794525,0.7682675570249557,0.7099109292030334,0.7226392328739166,0.5798959732055664,0.7071841359138489,0.6966365575790405,0.7458540499210358,0.6021337807178497,0.6746492385864258,0.7366563975811005
aem,0.6492840051651001,0.6762151718139648,0.7323062419891357,0.7359126508235931,0.7322674691677094,0.6670995652675629,0.6607965230941772,0.61186683177948,0.6345690190792084,0.6959602236747742,0.6728477478027344,0.6649719774723053,0.7293236255645752,0.650025874376297,0.7266978621482849,0.6236638426780701,0.6960296630859375,0.7214484512805939,0.7100360095500946,0.703666478395462
