left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.9452459588646889,0.9672233611345291,0.980935413390398,0.9515262581408024,0.9211289584636688,0.9021372199058533,0.9559876620769501,0.9624191746115685,0.9594567678868771,0.9589072838425636,0.9538024999201298,0.8400038033723831,0.9561667330563068,0.9656422659754753,0.9614831507205963,0.9849292589351535,0.9601767547428608,0.9442781247198582,0.9650821201503277,0.9333514496684074
aci,0.9861925691366196,0.9690725915133953,0.9855703096836805,0.9789145961403847,0.9743571560829878,0.9856161810457706,0.9826501999050379,0.9513991177082062,0.9800877366214991,0.9632358513772488,0.9774141237139702,0.9788506142795086,0.9841674137860537,0.9814547076821327,0.9263220503926277,0.9850832624360919,0.9616247490048409,0.9839415997266769,0.9840142037719488,0.989963935688138
acn,0.9825841430574656,0.8730997145175934,0.9642108455300331,0.9811930563300848,0.9810863994061947,0.9708569999784231,0.9761642385274172,0.9757755734026432,0.8795449659228325,0.9933360097929835,0.9824598822742701,0.9796200264245272,0.9786313343793154,0.9708749260753393,0.9656204916536808,0.9805536679923534,0.9923755382187665,0.9782742708921432,0.9791283085942268,0.9675234965980053
aco,0.9775216318666935,0.9765432476997375,0.9746658448129892,0.9878871943801641,0.9761961977928877,0.9605851173400879,0.9600610472261906,0.9786796104162931,0.9411502741277218,0.984591412357986,0.9852508893236518,0.9722310341894627,0.9735579136759043,0.9743358232080936,0.9753625132143497,0.964777659624815,0.9806817919015884,0.9811775293201208,0.965738583356142,0.9726673811674118
acu,0.9662249945104122,0.9769040681421757,0.9608585648238659,0.964671578258276,0.9717096425592899,0.9719248879700899,0.9594026021659374,0.9715021066367626,0.9384637586772442,0.9734676107764244,0.9724841434508562,0.9642845466732979,0.9586302004754543,0.9722423776984215,0.972825026139617,0.9752806164324284,0.9805999882519245,0.9716690201312304,0.9456287585198879,0.970136446878314
acw,0.9833020735532045,0.965985294431448,0.9813382588326931,0.9695253651589155,0.9907971974462271,0.9720727354288101,0.9741002861410379,0.9721225183457136,0.9635499306023121,0.9651661738753319,0.9652392975986004,0.9764581378549337,0.5118841230869293,0.9654111564159393,0.9607859179377556,0.9358954951167107,0.5862398743629456,0.9828635044395924,0.8051889389753342,0.9692901689559221
adt,0.974079504609108,0.9736091736704111,0.9763163942843676,0.9759244564920664,0.9639561921358109,0.9777837172150612,0.9865079903975129,0.9198479205369949,0.9787250906229019,0.9823850728571415,0.97921790368855,0.9851519642397761,0.9682951979339123,0.9738107994198799,0.9310340359807014,0.9800899624824524,0.9690815135836601,0.9596388265490532,0.9729961268603802,0.8245706856250763
aei,0.9754518456757069,0.9706175401806831,0.980542765930295,0.971153998747468,0.9712292701005936,0.9651901535689831,0.9748385734856129,0.9631235115230083,0.9700120165944099,0.9669712781906128,0.9678533673286438,0.9883153745904565,0.9766805656254292,0.9559307247400284,0.9875308470800519,0.9646639972925186,0.9881121879443526,0.985411062836647,0.9730589222162962,0.9753579162061214
aej,0.982233451679349,0.9753637984395027,0.9782771114259958,0.9779888074845076,0.9807171616703272,0.9817932080477476,0.9820747505873442,0.9193163514137268,0.979791397228837,0.9912201566621661,0.9820921048521996,0.9805692732334137,0.9214860498905182,0.9828380737453699,0.9857945274561644,0.977109057828784,0.9807077739387751,0.9491432905197144,0.9840921461582184,0.9856341602280736
aem,0.9804031383246183,0.987099701538682,0.9845191352069378,0.9837329313158989,0.9841765388846397,0.9866001419723034,0.973766690120101,0.9378179237246513,0.9636215381324291,0.9560648985207081,0.9780841488391161,0.9846647540107369,0.9671487733721733,0.9672623872756958,0.9810875449329615,0.9777635931968689,0.9748652260750532,0.9641137756407261,0.9709089752286673,0.935801737010479
