left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.9990413699997589,0.9985512625426054,0.9990683607175015,0.9992014857707545,0.9972510244697332,0.9991636549821123,0.9983879921492189,0.9992679140996188,0.9991958292084746,0.9986064510885626,0.9983217054978013,0.998519153916277,0.9996837722428609,0.9992654396919534,0.9996837722428609,0.9988337791291997,0.999445199908223,0.9996837722428609,0.9990623948979191,0.9996613729163073
aci,0.99860070401337,0.9996837722428609,0.9971811329014599,0.9988017128780484,0.9982567189726979,0.998102466808632,0.9974602207075804,0.9986919773509726,0.9978343800175935,0.999477322679013,0.9981270971475169,0.9995808186940849,0.9995967977156397,0.9992743497132324,0.9982358771376312,0.9988765431335196,0.9988174773752689,0.9985200522933155,0.9992684772587381,0.9994704286800697
acn,0.9986225229222327,0.9993275762535632,0.9985207018908113,0.9994244069093838,0.9987287654075772,0.999580636707833,0.9990747541305609,0.9989376907469705,0.9982195233460516,0.9985818166751415,0.9974739186000079,0.9981476167449728,0.99847298162058,0.9968602771405131,0.9986811473499984,0.9990094635868445,0.9980317456647754,0.9976902238558978,0.9979158116038889,0.9995480411744211
aco,0.9989768572850153,0.9995930376753677,0.9993487476021983,0.9995878194167744,0.9996837722428609,0.9994992209831253,0.9977532036136836,0.9975849243346602,0.9987034199293703,0.9996530608623289,0.9992572267074138,0.9982731301570311,0.9984868169995025,0.9977019038051367,0.9990622905315831,0.9992079962976277,0.9971651798114181,0.998738499940373,0.9996837722428609,0.9983916140627116
acu,0.9988216778729111,0.9989264837931842,0.9991862775641493,0.9982461291365325,0.9992385667283088,0.998110902030021,0.9991526492522098,0.9973256203811616,0.9992440625210293,0.9979739508125931,0.9987964070169255,0.9987150561064482,0.9984417733503506,0.9969585796352476,0.99704584130086,0.9988801633007824,0.9991739992983639,0.9990513542434201,0.997403517132625,0.9983920792583376
acw,0.9992751571116969,0.9996837722428609,0.9994152652216144,0.9996837722428609,0.9991428416687995,0.9992202039575204,0.9994033708935603,0.997168155387044,0.999164396955166,0.9978137237485498,0.9993409687303938,0.9993659510510042,0.9996837722428609,0.9995244964957237,0.999329345067963,0.9996168507786933,0.9982852027751505,0.9988025409402326,0.9991751875495538,0.9996837722428609
adt,0.9990993143292144,0.997752693016082,0.9985698576783761,0.9990180222084746,0.9985573785379529,0.9978087039198726,0.9983389502158388,0.9994107091915794,0.9986467213602737,0.9972975151613355,0.998228530283086,0.999030607927125,0.9992888544802554,0.9989709589863196,0.9983629398047924,0.998681012308225,0.9983786799712107,0.9985433781985193,0.9988352895015851,0.9981377638177946
aei,0.9973847703076899,0.9976188580039889,0.9987709859851748,0.9987395778298378,0.9993723051156849,0.9984271550783888,0.9989085459383205,0.9988749746698886,0.9996837722428609,0.9986700430745259,0.9983360855840147,0.9976221746765077,0.9984291847795248,0.9991118511534296,0.9991549288970418,0.9990633777342737,0.9987692242721096,0.9986057421192527,0.9987183487974107,0.9979799753054976
aej,0.99907796055777,0.9983995171496645,0.9974447567947209,0.9989897868363187,0.9993913423968479,0.9986186084570363,0.9971569450572133,0.9979271059855819,0.9973117457702756,0.9996224835340399,0.9966868916526437,0.9986504132393748,0.9970292961224914,0.9984828077722341,0.9990852859918959,0.9980077650398016,0.9993503649602644,0.9977072444744408,0.9989222631556913,0.99932957731653
aem,0.9996527530020103,0.9982038087910041,0.9978328510187566,0.9991808969643898,0.9980107629671693,0.9991153941955417,0.9994755060761236,0.9994288946036249,0.9996837722428609,0.9978859520051628,0.9994285636930726,0.999489379406441,0.998289042385295,0.9988004476763308,0.9988629630533978,0.9992690477520227,0.999227510066703,0.998721391079016,0.9982567328261212,0.9990913377841935
aes,0.9963245205581188,0.9973566271364689,0.9986412847647443,0.9983245454495773,0.9980287281796336,0.9967639606911689,0.9981377355288714,0.9963441130239516,0.9986191188218072,0.9995221531717107,0.9975195860024542,0.9995018485933542,0.9982210919260979,0.9980666749179363,0.9969553332775831,0.9977647135965526,0.9971212816890329,0.9991634933976457,0.9978030037600547,0.9976331419311464
afd,0.9993746861582622,0.9990421492839232,0.9996060447592754,0.9992388605023734,0.9992202701978385,0.9988188096322119,0.9973344262689352,0.9993677656748332,0.9995405630616006,0.9996650310349651,0.9994877964491025,0.9981974897673354,0.9988824587780982,0.9994438575813547,0.9985592904267833,0.9993558487039991,0.9996093873342033,0.999570395302726,0.9989819886395708,0.9984596153954044
afl,0.9975239555351436,0.9992113215848804,0.9976372113451362,0.9983183471485972,0.9988332343054935,0.9969218277838081,0.999008601414971,0.9989504120312631,0.9982183327665552,0.9984721775399521,0.9994926499202847,0.9996837722428609,0.9987904637819156,0.9995502095553093,0.9995132048788946,0.9979666059371084,0.9980496293865144,0.9987722934456542,0.9985363818705082,0.9980104474816471
agb,0.9991713626077399,0.9993238170281984,0.9990641858312301,0.9987615377176553,0.999275179579854,0.9980280802119523,0.9993881437112577,0.9990148920333013,0.9975642941426486,0.9996837722428609,0.9996837722428609,0.9996130588406231,0.9996837722428609,0.9989060817752033,0.9996837722428609,0.9993437990779057,0.9987828109879047,0.9989410237176344,0.9988698298111558,0.9978830183390528
agl,0.9976261323317885,0.9994697729125619,0.9984608384547755,0.9986603715224192,0.9979643058031797,0.9993436061195098,0.9980141289997846,0.9987713459413499,0.9996837722428609,0.9981808197917417,0.9980211919173598,0.9988857477437705,0.9996261930791661,0.9986087324796245,0.9988488823873922,0.996082067489624,0.9990619891905226,0.9981236215680838,0.9983360776677728,0.9996837722428609
ahg,0.9990645143552683,0.9981865643057972,0.9992894263123162,0.9984451500931755,0.9989298622822389,0.9988270205212757,0.9991325262235478,0.9992261540610343,0.9977999764960259,0.9993706978275441,0.9980248843785375,0.9969574396964163,0.9994183506350964,0.998425979167223,0.9994159222114831,0.9995112848118879,0.9994765109149739,0.9995938665524591,0.9983325746143237,0.9993897604872473
ahr,0.9994117566966452,0.9975193606223911,0.9995705749315675,0.9987868580501527,0.9990966083132662,0.9986527120927349,0.9990689074620605,0.9989871999714524,0.9986947132274508,0.9985560534987599,0.9989917774219066,0.9980894334148616,0.9990783458924852,0.99897849583067,0.9989738707663491,0.9991174225579016,0.9988907142542303,0.9969840820413083,0.9968355726450682,0.9990513689117506
aik,0.9994106740923598,0.9989750551758334,0.9974132271017879,0.9992200327687897,0.9982565324753523,0.9988183176610619,0.9981819924432784,0.9991219514631666,0.9994581766659394,0.9996267910755705,0.9990769465803169,0.9992046600673348,0.9987632427364588,0.9978988685179502,0.9985265993745998,0.9994911416433752,0.9993364738184027,0.9996199267334305,0.999648572789738,0.9991955674486235
aiv,0.9976853348780423,0.9958481532521546,0.9977042549289763,0.9979143419768661,0.9971329695545137,0.9978149479720742,0.9975350520107895,0.9985663159750402,0.9980800228659064,0.998271596385166,0.9982142996741459,0.9984125418122858,0.9978814597707242,0.9978090433869511,0.9973324751481414,0.9981515853432938,0.9964443049393594,0.9977615589741617,0.9973922460339963,0.9961219350807369
ajf,0.9976090844720602,0.9979383074678481,0.9993855379871093,0.9996561345178634,0.9988783980952576,0.998743804753758,0.9988246086286381,0.9976271141786128,0.9985631696181372,0.9993876090156846,0.9988871484529227,0.9982826658524573,0.9994395325775258,0.9979176023043692,0.9990185907809064,0.9996837722428609,0.9973954800516367,0.9980748869711533,0.9973770289216191,0.9996188712248113
ajk,0.9973162657115608,0.9978614547289908,0.9990549008944072,0.9996516718529165,0.9984946654876694,0.9992796008009464,0.998604116612114,0.9989456532057375,0.9992667664191686,0.9995510778098833,0.9996391549648251,0.9976220522075891,0.9992860652273521,0.9990028130123392,0.9990379774826579,0.9992881973739713,0.9992532479809597,0.9996837722428609,0.9995009966660291,0.9979612773749977
aka,0.9996837722428609,0.9991578422486782,0.9990922709694132,0.9993895024526864,0.9981585696805269,0.9994162434595637,0.9986353503772989,0.9977299098391086,0.9981808895245194,0.9989727368811145,0.999380792141892,0.9990659240284003,0.9993928786134347,0.9988895166898146,0.9985579838976264,0.9981821782421321,0.9996837722428609,0.999422074877657,0.9993652441189624,0.999271493172273
akg,0.9991616483894177,0.9987387235742062,0.9979109019041061,0.9989745576167479,0.9989687794586644,0.9994880790472962,0.9994681688258424,0.9988386045442894,0.9967656028456986,0.9981924957828596,0.9992607369204052,0.999550024891505,0.9993951126234606,0.9992664678720757,0.999383325513918,0.9989807250676677,0.9983684371691197,0.9976981931831688,0.9991993978037499,0.9983214979292825
alc,0.9990177524741739,0.9993010553298518,0.9991463421611115,0.9996335233154241,0.9991479301243089,0.9987857766682282,0.998532806057483,0.9994824418681674,0.9976165883708745,0.9988579384516925,0.9995697228005156,0.9993861059774645,0.998964513768442,0.9984789883019403,0.9995868825935759,0.9981096964329481,0.9993144805775955,0.999585029843729,0.998200187808834,0.9990485894377343
ali,0.9988815006799996,0.9994787058094516,0.9983567560557276,0.9994704854907468,0.9996837722428609,0.9989732287358493,0.9996642452606466,0.9982293184148148,0.997812039218843,0.9969900597352535,0.9992745303898118,0.9993110944051296,0.999563556862995,0.9996837722428609,0.9993661302723922,0.99912931304425,0.9990901811979711,0.9979228423908353,0.9996156643901486,0.9995579638925847
alt,0.997568806167692,0.9989872085861862,0.9990153468679637,0.9993391042225994,0.999217348289676,0.9986676613334566,0.9975354010239244,0.9993783479440026,0.9989722531754524,0.9994368394836783,0.9996078106632922,0.9983081202954054,0.9984010036569089,0.9972880852874368,0.9994974274304695,0.9978338843211532,0.9987515202956274,0.9980992545606568,0.9979386562481523,0.9991506220540032
alx,0.9987354296026751,0.9981488367775455,0.9992381616611965,0.9977027708664536,0.9984254729934037,0.9982321044662967,0.997511408990249,0.9985519809415564,0.9985385953914374,0.9979491960257292,0.9983220450812951,0.9976627321448177,0.9982480776961893,0.9986378551693633,0.9986481524538249,0.9990417165099643,0.9975099165458232,0.9995501438970678,0.9983948110602796,0.9973218257073313
aly,0.9989601244451478,0.9992802977212705,0.9993578155408613,0.9994004353648052,0.9993437921511941,0.9994328015600331,0.9996837722428609,0.9980276629794389,0.9992924528778531,0.9996061181009281,0.9995038515189663,0.9990770698641427,0.9994675825000741,0.9994458767469041,0.9988222969695926,0.9994133489672095,0.9989052008604631,0.9992719286237843,0.9995485586987343,0.9996288930124138
ama,0.9987094660755247,0.9971422269009054,0.9985544852679595,0.9979823606554419,0.9977093252819031,0.9980394365265965,0.9987491989741102,0.9993036011583172,0.9983645961619914,0.996462523471564,0.9984897534595802,0.9993069996708073,0.9987106211483479,0.998836868442595,0.9987557990243658,0.9970839857123792,0.9973782894667238,0.9987468961626291,0.9982397326966748,0.9977566713932902
amb,0.9990328366402537,0.9982046306831762,0.998050523805432,0.9996837722428609,0.9961719405837357,0.9966007226612419,0.9984875371446833,0.9987870184704661,0.9956803200766444,0.9993757358170114,0.9992558336816728,0.998196586384438,0.9967666664160788,0.998004593886435,0.9973123571835458,0.9970580961089581,0.9961205865256488,0.9980741493636742,0.9981109357904643,0.9971619280986488
amd,0.9988369930069894,0.9993266517412849,0.9992576852673665,0.9992901344085112,0.9990002653794363,0.9994531503762119,0.999225155916065,0.9989280288573354,0.9990667366655543,0.9988885519560426,0.9984195409342647,0.9977990596089512,0.9991742557031102,0.9989943156251684,0.9993375797639601,0.9990337606868707,0.9978204313665628,0.9993052870268002,0.9973138882778585,0.999173806339968
amg,0.9985048118978739,0.9989570251200348,0.9993579527945258,0.9996182577742729,0.9988931125262752,0.9982979531632736,0.9977580835111439,0.9996837722428609,0.99770009634085,0.9996837722428609,0.9993029237375595,0.9996837722428609,0.9993591561214998,0.9984553223475814,0.997915867716074,0.9980587353929877,0.997799864038825,0.9977791192941368,0.9996139084396418,0.9990538968122564
amh,0.9996531407523435,0.998672271030955,0.9984587194630876,0.9969720421358943,0.9974659441504627,0.9990645488142036,0.9996837722428609,0.9988722188863903,0.9988253862829879,0.9995059543289244,0.9979105549864471,0.9993008531164378,0.99866679799743,0.9993469796609133,0.9978607643861324,0.9989158230600879,0.9992653651279397,0.999035038461443,0.9988537500612438,0.9980095855426043
amn,0.998027820372954,0.9973378065042198,0.999513619375648,0.99920366628794,0.9994364753947593,0.9988709548488259,0.9988989144330844,0.9980346630327404,0.9994541895575821,0.9985411197412759,0.9994216512423009,0.9988048730883747,0.999566477315966,0.9990913009969518,0.9979912887793034,0.9993824244011194,0.9967859867028892,0.9993848382728174,0.9995894810999744,0.9972641544882208
amq,0.9995064794202335,0.9971186032053083,0.9982803938910365,0.9969499572180212,0.9984370218589902,0.9990918817347847,0.9973926993552595,0.9976208815351129,0.9975373910274357,0.9996446550940163,0.9985141495708376,0.9977399066556245,0.9963678917847574,0.9981195504078642,0.9958720402792096,0.9973968158010393,0.997732583899051,0.997313174419105,0.9987337436759844,0.9981362770777196
aop,0.9990751354489475,0.9994995595770888,0.9989525960991159,0.9981130282394588,0.9994413903914392,0.9996208164666314,0.9993344916729257,0.9996129721985199,0.9993942900327966,0.9983695012051612,0.9991993336006999,0.9994866888155229,0.9968603104352951,0.9984480608254671,0.9996805610135198,0.9990120972506702,0.9985809994395822,0.9992194648366421,0.9972373128402978,0.9993349026190117
aoq,0.9981903387233615,0.9985835890984163,0.9993765887338668,0.9987266738899052,0.9970487686805427,0.9994398236158304,0.9995934524631593,0.9986675882246345,0.998738547321409,0.9996328586421441,0.9996261500637047,0.9989094556076452,0.9969242024235427,0.9994927748921327,0.9996533470402937,0.9978982175234705,0.9977634861133993,0.9983160429401323,0.9987943846499547,0.9983941955724731
